time,frontend_mem,frontend_cpu,frontend_restarts,checkoutservice_mem,checkoutservice_cpu,checkoutservice_restarts,cartservice_mem,cartservice_cpu,cartservice_restarts,currencyservice_mem,currencyservice_cpu,currencyservice_restarts,paymentservice_mem,paymentservice_cpu,paymentservice_restarts,recommendationservice_mem,recommendationservice_cpu,recommendationservice_restarts,productcatalogservice_mem,productcatalogservice_cpu,productcatalogservice_restarts,shippingservice_mem,shippingservice_cpu,shippingservice_restarts,emailservice_mem,emailservice_cpu,emailservice_restarts,adservice_mem,adservice_cpu,adservice_restarts
1782910158,10805248.000000,,0.000000,7852032.000000,0.000950,0.000000,55279616.000000,0.005633,0.000000,34361344.000000,0.009220,0.000000,24936448.000000,0.000382,0.000000,33148928.000000,0.006718,0.000000,8302592.000000,0.005653,0.000000,7368704.000000,0.000695,0.000000,37507072.000000,0.001544,1.000000,96714752.000000,0.007759,0.000000
1782910188,10637312.000000,,0.000000,7860224.000000,0.001006,0.000000,55214080.000000,0.005018,0.000000,34361344.000000,0.008414,0.000000,22351872.000000,,0.000000,33148928.000000,0.006603,0.000000,8626176.000000,0.005586,0.000000,7368704.000000,0.000775,0.000000,37507072.000000,0.001394,1.000000,94031872.000000,0.005645,0.000000
1782910218,10870784.000000,0.011899,0.000000,7905280.000000,0.000804,0.000000,56123392.000000,0.004930,0.000000,34361344.000000,,0.000000,22372352.000000,0.000481,0.000000,33157120.000000,0.006273,0.000000,8626176.000000,0.003149,0.000000,7376896.000000,0.000658,0.000000,37507072.000000,0.001368,1.000000,94330880.000000,0.004992,0.000000
1782910248,11788288.000000,0.030194,0.000000,7905280.000000,0.000903,0.000000,56107008.000000,0.014538,0.000000,34627584.000000,0.021439,0.000000,23281664.000000,0.001000,0.000000,33148928.000000,0.019335,0.000000,8519680.000000,0.008761,0.000000,7385088.000000,0.001549,0.000000,37507072.000000,,1.000000,94433280.000000,0.006973,0.000000
1782910278,12165120.000000,0.047443,0.000000,7950336.000000,,0.000000,56147968.000000,0.016924,0.000000,34627584.000000,0.020198,0.000000,22204416.000000,0.001839,0.000000,33157120.000000,0.019120,0.000000,8519680.000000,0.011254,0.000000,7385088.000000,0.001232,0.000000,37523456.000000,,1.000000,94830592.000000,0.014804,0.000000
1782910308,12165120.000000,0.035112,0.000000,7974912.000000,0.002840,0.000000,56242176.000000,0.021905,0.000000,35659776.000000,0.018078,0.000000,22839296.000000,0.001629,0.000000,33431552.000000,0.021747,0.000000,8634368.000000,,0.000000,7389184.000000,,0.000000,37523456.000000,0.001958,1.000000,95096832.000000,0.018235,0.000000
1782910338,12218368.000000,,0.000000,7974912.000000,0.002259,0.000000,56254464.000000,0.017572,0.000000,36171776.000000,0.029906,0.000000,22839296.000000,,0.000000,33165312.000000,0.021211,0.000000,8712192.000000,0.022421,0.000000,7397376.000000,0.002141,0.000000,37507072.000000,0.002072,1.000000,95096832.000000,0.017663,0.000000
1782910368,12251136.000000,0.047680,0.000000,7839744.000000,0.000800,0.000000,56254464.000000,0.016881,0.000000,36171776.000000,,0.000000,23216128.000000,,0.000000,33173504.000000,0.009080,0.000000,8634368.000000,0.021359,0.000000,7598080.000000,0.002029,0.000000,37507072.000000,0.001404,1.000000,95145984.000000,,0.000000
1782910398,11132928.000000,0.031274,0.000000,7839744.000000,0.000821,0.000000,56238080.000000,0.011959,0.000000,35241984.000000,0.008711,0.000000,23269376.000000,0.000777,0.000000,33165312.000000,0.016110,0.000000,8704000.000000,0.017762,0.000000,7471104.000000,0.001408,0.000000,37523456.000000,,1.000000,95256576.000000,0.010749,0.000000
1782910428,11132928.000000,0.015851,0.000000,7745536.000000,,0.000000,56135680.000000,0.005909,0.000000,35241984.000000,0.012358,0.000000,23273472.000000,0.000713,0.000000,33157120.000000,0.006779,0.000000,8699904.000000,0.005446,0.000000,7471104.000000,0.000406,0.000000,37523456.000000,0.001465,1.000000,95256576.000000,0.007569,0.000000
