timestamp,service,level,message
1782909326030029056,frontend,DEBUG,serving product page
1782909326051299072,frontend,DEBUG,request complete
1782909327111479040,frontend,DEBUG,request started
1782909327111660032,frontend,DEBUG,serving product page
1782909327127633152,frontend,DEBUG,request complete
1782909327128662016,frontend,DEBUG,request started
1782909327128824832,frontend,DEBUG,adding to cart
1782909327133233920,frontend,DEBUG,request complete
1782909327133975040,frontend,DEBUG,request started
1782909327134011136,frontend,DEBUG,view user cart
1782909327149528064,frontend,DEBUG,request complete
1782909327238795008,frontend,DEBUG,request started
1782909327238825984,frontend,DEBUG,serving product page
1782909327257428992,frontend,DEBUG,request complete
1782909327259362816,frontend,DEBUG,request started
1782909327259563008,frontend,DEBUG,adding to cart
1782909327263282944,frontend,DEBUG,request complete
1782909327264228096,frontend,DEBUG,request started
1782909327264270080,frontend,DEBUG,view user cart
1782909327280358144,frontend,DEBUG,request complete
1782909328281157888,frontend,DEBUG,request started
1782909328281203968,frontend,DEBUG,serving product page
1782909328296786944,frontend,DEBUG,request complete
1782909328332670976,frontend,DEBUG,request started
1782909328332806144,frontend,DEBUG,serving product page
1782909328347284992,frontend,DEBUG,request complete
1782909328585982208,frontend,DEBUG,request started
1782909328586011904,frontend,DEBUG,request complete
1782909328586023936,frontend,DEBUG,request started
1782909328586067968,frontend,DEBUG,request complete
1782909329124645888,frontend,DEBUG,request started
1782909329124825856,frontend,DEBUG,serving product page
1782909329140228096,frontend,DEBUG,request complete
1782909329654361856,frontend,DEBUG,request started
1782909329654434816,frontend,DEBUG,serving product page
1782909329679169024,frontend,DEBUG,request complete
1782909329680692992,frontend,DEBUG,request started
1782909329680712960,frontend,DEBUG,adding to cart
1782909329686157824,frontend,DEBUG,request complete
1782909329687025920,frontend,DEBUG,request started
1782909329687118080,frontend,DEBUG,view user cart
1782909329704404992,frontend,DEBUG,request complete
1782909330045147904,frontend,DEBUG,request started
1782909330045219840,frontend,DEBUG,serving product page
1782909330060930048,frontend,DEBUG,request complete
1782909330614054912,frontend,DEBUG,request started
1782909330614124032,frontend,DEBUG,serving product page
1782909330630313984,frontend,DEBUG,request complete
1782909330739067904,frontend,DEBUG,request started
1782909330739222016,frontend,DEBUG,setting currency
