time,cdo-sample-api_mem,cdo-sample-api_cpu,cdo-sample-api_delay,notification-service_mem,notification-service_cpu,notification-service_delay
1782890938,19480576.000000,0.000261,4.750000,40374272.000000,0.000526,4.781457
1782890968,19480576.000000,0.000302,4.750000,40374272.000000,0.000559,4.781457
1782890998,19480576.000000,0.000204,4.750000,40374272.000000,0.000545,4.781457
1782891028,19480576.000000,,4.813333,40374272.000000,0.000454,4.781457
1782891058,19480576.000000,0.000256,4.813333,40374272.000000,0.000507,4.781457
1782891088,19484672.000000,0.000274,4.813333,40374272.000000,0.000635,4.781457
1782891118,19480576.000000,0.000234,4.813333,40374272.000000,0.000552,4.781457
1782891148,19484672.000000,0.000308,4.813333,40374272.000000,0.000509,4.813333
1782891178,19480576.000000,0.000193,4.813333,40378368.000000,0.000526,4.813333
1782891208,19480576.000000,0.000308,4.813333,40382464.000000,0.000491,4.781457
1782891238,19480576.000000,0.000322,4.813333,40382464.000000,0.000582,4.781457
1782891268,19480576.000000,,4.813333,40251392.000000,0.000607,4.813333
1782891298,19480576.000000,,4.813333,40251392.000000,0.000496,4.813333
1782891328,19480576.000000,0.000379,4.813333,40251392.000000,0.000665,4.813333
1782891358,19480576.000000,0.000331,4.813333,40255488.000000,0.000479,4.813333
1782891388,19480576.000000,0.000319,4.878378,40251392.000000,0.000512,4.813333
1782891418,19480576.000000,0.000238,4.878378,40251392.000000,0.000375,4.813333
1782891448,19480576.000000,0.000158,4.878378,40251392.000000,0.000556,4.813333
1782891478,19480576.000000,0.000327,4.878378,40251392.000000,0.000480,4.813333
1782891508,19484672.000000,0.000274,4.878378,40251392.000000,0.000555,4.813333
1782891538,19484672.000000,0.000263,4.878378,40251392.000000,0.000485,4.813333
1782891568,19484672.000000,0.000251,4.878378,40251392.000000,0.000570,4.781457
1782891598,19484672.000000,0.000302,4.878378,40255488.000000,0.000475,4.781457
1782891628,19484672.000000,0.000258,4.813333,40255488.000000,0.000677,4.813333
1782891658,19484672.000000,0.000226,4.813333,40255488.000000,0.000461,4.813333
1782891688,19484672.000000,0.000301,4.750000,40255488.000000,0.000548,4.845638
1782891718,19488768.000000,0.000293,4.750000,40259584.000000,0.000550,4.845638
1782891748,19484672.000000,0.000300,4.813333,40255488.000000,0.000552,4.813333
1782891778,19484672.000000,,4.813333,40255488.000000,0.000454,4.813333
1782891808,19484672.000000,,4.813333,40259584.000000,0.000506,4.845638
1782891838,19492864.000000,0.000330,4.813333,40263680.000000,0.000527,4.845638
1782891868,19582976.000000,0.000277,4.813333,40259584.000000,0.000568,4.845638
1782891898,19652608.000000,0.000274,4.813333,40263680.000000,0.000404,4.845639
1782891928,19714048.000000,0.000338,4.813333,40259584.000000,0.000487,4.813333
1782891958,19804160.000000,0.000329,4.813333,40259584.000000,0.000611,4.813333
1782891988,19345408.000000,0.000277,4.813333,40259584.000000,0.000566,4.781457
1782892018,19345408.000000,0.000250,4.813333,40259584.000000,0.000387,4.781457
1782892048,19345408.000000,0.000136,4.750000,40259584.000000,0.000478,4.781457
1782892078,19345408.000000,,4.750000,40259584.000000,0.000499,4.781457
1782892108,19345408.000000,0.000354,4.750000,40263680.000000,0.000591,4.750000
1782892138,19345408.000000,0.000264,4.750000,40259584.000000,0.000364,4.750000
1782892168,19345408.000000,0.000139,4.750000,40263680.000000,0.000570,4.781457
1782892198,19345408.000000,,4.750000,40263680.000000,0.000443,4.781457
1782892228,19345408.000000,0.000305,4.750000,40259584.000000,0.000511,4.781457
1782892258,19349504.000000,0.000291,4.750000,40259584.000000,0.000484,4.781457
1782892288,19349504.000000,0.000260,4.750000,40263680.000000,0.000425,4.813333
1782892318,19353600.000000,0.000314,4.750000,40259584.000000,0.000557,4.813333
1782892348,19353600.000000,0.000237,4.750000,40259584.000000,0.000526,4.845637
1782892378,19353600.000000,,4.750000,40259584.000000,0.000474,4.845637
1782892408,19353600.000000,0.000331,4.750000,40259584.000000,0.000549,4.878378
1782892438,19353600.000000,0.000247,4.750000,40259584.000000,0.000604,4.878378
1782892468,19353600.000000,0.000360,4.750000,40259584.000000,0.000496,4.878378
1782892498,19353600.000000,0.000240,4.750000,40259584.000000,0.000504,4.878378
1782892528,19353600.000000,0.000261,4.750000,40263680.000000,0.000523,4.878377
1782892558,19353600.000000,0.000152,4.750000,40259584.000000,0.000484,4.878378
1782892588,19353600.000000,,4.750000,40259584.000000,0.000528,4.845638
1782892618,19353600.000000,0.000194,4.750000,40259584.000000,0.000593,4.845638
1782892648,19353600.000000,0.000158,4.813333,40263680.000000,0.000554,4.845638
1782892678,19353600.000000,0.000350,4.813333,40259584.000000,0.000451,4.845638
1782892708,19357696.000000,0.000302,4.813333,40259584.000000,0.000899,4.813333
1782892738,19353600.000000,0.000253,4.813333,40259584.000000,0.000408,4.813334
1782892768,19353600.000000,0.000348,4.813333,40259584.000000,0.000553,4.781457
1782892798,19353600.000000,0.000252,4.813333,40259584.000000,0.000506,4.781457
1782892828,19353600.000000,0.000339,4.813333,40259584.000000,0.000572,4.813333
1782892858,19353600.000000,0.000157,4.813333,40259584.000000,0.000507,4.813333
1782892888,19353600.000000,0.000382,4.878378,40914944.000000,0.000571,4.845638
1782892918,19353600.000000,0.000273,4.878378,40914944.000000,0.000482,4.845638
1782892948,19357696.000000,0.000300,4.813333,40914944.000000,0.000572,4.845638
1782892978,19353600.000000,0.000236,4.813333,40914944.000000,0.000608,4.845638
1782893008,19353600.000000,0.000275,4.813333,40914944.000000,0.000490,4.845638
1782893038,19353600.000000,0.000256,4.813333,40914944.000000,0.000492,4.845638
1782893068,19353600.000000,0.000156,4.878378,40251392.000000,0.000595,4.878378
1782893098,19353600.000000,,4.878378,40251392.000000,0.000549,4.878378
1782893128,19353600.000000,0.000264,4.878378,40251392.000000,0.000550,4.845638
1782893158,19353600.000000,0.000145,4.878378,40255488.000000,0.000404,4.845638
1782893188,19353600.000000,,4.813333,40255488.000000,0.000516,4.813333
1782893218,19353600.000000,0.000356,4.813333,40255488.000000,0.000477,4.813333
1782893248,19353600.000000,0.000236,4.813333,40255488.000000,0.000550,4.813333
1782893278,19357696.000000,0.000274,4.813333,40259584.000000,0.000471,4.813333
1782893308,19353600.000000,0.000256,4.813333,40263680.000000,0.000420,4.845637
1782893338,19357696.000000,0.000357,4.813333,40259584.000000,0.000609,4.845638
1782893368,19357696.000000,0.000257,4.750000,40259584.000000,0.000443,4.845638
1782893398,19357696.000000,0.000260,4.750000,40263680.000000,0.000448,4.845638
1782893428,19361792.000000,0.000302,4.750000,40259584.000000,0.001117,4.845638
1782893458,19361792.000000,0.000317,4.750000,40259584.000000,0.000459,4.845638
1782893488,19361792.000000,0.000172,4.750000,40259584.000000,0.000532,4.845638
1782893518,19361792.000000,0.000277,4.750000,40259584.000000,0.000503,4.845638
1782893548,19361792.000000,0.000277,4.813333,40259584.000000,0.000252,4.813333
1782893578,19361792.000000,0.000438,4.813333,40259584.000000,0.000567,4.813333
1782893608,19361792.000000,0.000139,4.813333,40259584.000000,0.000586,4.781457
1782893638,19361792.000000,0.000351,4.813333,40259584.000000,0.000460,4.781457
1782893668,19619840.000000,0.000308,4.813333,40259584.000000,0.000575,4.750000
1782893698,19361792.000000,0.000313,4.813333,40259584.000000,0.000383,4.750000
